ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Sense_ID
kgv-1458-1,,kgv,1458,taru,taru,,,,,,,,SN002375
kgv-1458-2,,kgv,1458,taruo,taruo,,,,,,,,SN002376
kgv-2468-1,,kgv,2468,tas,tas,,,,,,,,SN002378
kgv-1383-3,,kgv,1383,tata,tata,,,,,,,,SN002380
kgv-1496-4,,kgv,1496,tatanina,tatanina,,,,,,,,SN002382
kgv-1241-2,,kgv,1241,taukon,taukon,,,,,,,,SN002387
kgv-628-5,,kgv,628,taun,taun,,,,,,,,SN002388
kgv-2336-2,,kgv,2336,=tauna,=tauna,,,,,,,,SN002389
kgv-297-1,,kgv,297,taungtaung,taungtaung,,,,,,,,SN002390
kgv-2984-2,,kgv,2984,*taur,*taur,,,,,,,,SN002393
kgv-1493-11,,kgv,1493,taurkon,taurkon,,,,,,,,SN002395
kgv-155-1,,kgv,155,tawara,tawara,,,,,,,,SN002396
kgv-1808-1,,kgv,1808,te,te,,,,,,,,SN002401
kgv-84-2,,kgv,84,=teba,=teba,,,,,,,,SN002405
kgv-98-7,,kgv,98,*tebon,*tebon,,,,,,,,SN002408
kgv-98-8,,kgv,98,tebonggan,tebonggan,,,,,,,,SN002409
kgv-2830-1,,kgv,2830,teir,teir,,,,,,,,SN002410
kgv-1332-1,,kgv,1332,*teit,*teit,,,,,,,,SN002413
kgv-575-1,,kgv,575,teitei,teitei,,,,,,,,SN002414
kgv-1352-1,,kgv,1352,tektek,tektek,,,,,,,,SN002415
kgv-3351-1,,kgv,3351,telin,telin,,,,,,,,SN002419
kgv-1084-2,,kgv,1084,telpon,telpon,,,,,,,,SN002420
kgv-668-2,,kgv,668,teltel,teltel,,,,,,,,SN002423
kgv-1202-4,,kgv,1202,*tem,*tem,,,,,,,,SN002424
kgv-1325-2,,kgv,1325,teman,teman,,,,,,,,SN002426
kgv-1614-2,,kgv,1614,temgerun,temgerun,,,,,,,,SN002427
kgv-1202-5,,kgv,1202,temun,temun,,,,,,,,SN002429
